City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
arraial do cabo,-22.97,-42.03,77.0,83.0,82.0,6.7,BR,08-18-2020
port elizabeth,-33.92,25.57,51.8,81.0,59.0,12.3,ZA,08-18-2020
the pas,53.83,-101.25,78.8,61.0,1.0,2.99,CA,08-18-2020
new norfolk,-42.78,147.06,41.0,83.0,57.0,0.95,AU,08-18-2020
chokurdakh,70.63,147.92,33.8,92.0,59.0,2.75,RU,08-18-2020
butaritari,3.07,172.79,82.59800000000003,73.0,1.0,4.33,KI,08-18-2020
berlevag,70.86,29.09,51.8,76.0,75.0,5.7,NO,08-18-2020
rondonopolis,-16.47,-54.64,105.17000000000006,12.0,0.0,4.8,BR,08-18-2020
belmonte,-15.86,-38.88,77.0,69.0,40.0,3.1,BR,08-18-2020
kulhudhuffushi,6.62,73.07,82.34600000000005,71.0,100.0,2.8,MV,08-18-2020
padilla,3.22,-76.31,84.99199999999999,65.0,40.0,2.1,CO,08-18-2020
hithadhoo,-0.6,73.08,83.96600000000001,75.0,26.0,4.6,MV,08-18-2020
santa marinella,42.03,11.85,73.00400000000005,56.0,100.0,0.89,IT,08-18-2020
niteroi,-22.88,-43.1,86.0,83.0,26.0,6.2,BR,08-18-2020
port hardy,50.7,-127.42,59.0,100.0,90.0,2.6,CA,08-18-2020
buala,-8.14,159.59,79.44800000000002,80.0,100.0,1.44,SB,08-18-2020
calabar,4.95,8.32,75.434,92.0,100.0,1.87,NG,08-18-2020
port alfred,-33.59,26.89,53.6,70.0,99.0,15.15,ZA,08-18-2020
bethel,41.37,-73.41,82.00400000000005,44.0,1.0,2.6,US,08-18-2020
mitu,1.2,-70.17,85.37000000000006,60.0,40.0,0.8,CO,08-18-2020
goderich,43.75,-81.72,71.00600000000003,75.0,0.0,4.02,CA,08-18-2020
jaslo,49.75,21.47,66.99199999999999,100.0,75.0,3.1,PL,08-18-2020
cape town,-33.93,18.42,53.00600000000003,66.0,20.0,3.6,ZA,08-18-2020
mataura,-46.19,168.86,43.34000000000002,81.0,100.0,2.2,NZ,08-18-2020
praya,14.92,-23.51,81.19400000000007,78.0,96.0,0.02,CV,08-18-2020
pemba,-12.97,40.52,75.2,83.0,40.0,4.1,MZ,08-18-2020
baykit,61.67,96.37,54.14000000000002,65.0,100.0,1.62,RU,08-18-2020
xiongzhou,25.12,114.3,76.24400000000007,87.0,100.0,0.71,CN,08-18-2020
muros,42.78,-9.06,69.99800000000002,85.0,100.0,4.47,ES,08-18-2020
guerrero negro,27.98,-114.06,92.39000000000001,36.0,45.0,1.28,MX,08-18-2020
qaanaaq,77.48,-69.36,44.15,81.0,100.0,4.69,GL,08-18-2020
bato,13.35,123.37,76.55,90.0,41.0,0.4,PH,08-18-2020
rikitea,-23.12,-134.97,71.87000000000006,80.0,0.0,5.36,PF,08-18-2020
tasiilaq,65.61,-37.64,51.8,71.0,40.0,1.5,GL,08-18-2020
bulandshahr,28.4,77.85,85.17200000000004,76.0,98.0,2.05,IN,08-18-2020
